ds,yhat,yhat_lower,yhat_upper
2025-05-21 16:00:12,105654.55658393013,104216.25326335782,106821.90833692443
2025-05-21 16:30:12,105603.69728033397,104364.33257772728,106913.91373088073
2025-05-21 17:00:12,105615.17392193284,104271.19589976003,106832.06613455058
2025-05-21 17:30:12,105679.45357307437,104425.50061234037,106953.62443317498
2025-05-21 18:00:12,105776.04416484761,104543.50509719395,107123.95763927288
2025-05-21 18:30:12,105878.74876080219,104634.81584694593,107091.64494243616
2025-05-21 19:00:12,105961.37399812577,104776.63533569865,107251.70146473976
2025-05-21 19:30:12,106002.60518703038,104702.55285266075,107242.3924588665
2025-05-21 20:00:12,105989.07909053628,104682.27444289536,107313.80314649286
2025-05-21 20:30:12,105916.23725837836,104600.31352890111,107177.98079884941
2025-05-21 21:00:12,105787.17393069805,104480.03115817273,107031.36363027728
2025-05-21 21:30:12,105610.20856440255,104304.63020201297,106896.59231859964
2025-05-21 22:00:12,105396.15662036726,104081.63843771732,106706.18677123777
2025-05-21 22:30:12,105156.18617247234,103952.70775181978,106449.46674876918
2025-05-21 23:00:12,104900.78983295159,103677.80667787373,106195.43949231952
2025-05-21 23:30:12,104639.91128863282,103437.5106704679,105950.19701762374
2025-05-22 00:00:12,104383.81079483769,103107.16940742276,105711.92631490377
2025-05-22 00:30:12,104143.97739175659,102843.07337290292,105355.0949946586
2025-05-22 01:00:12,103933.37848068097,102636.50200692407,105221.60086318519
2025-05-22 01:30:12,103765.5786016591,102483.63199691303,105004.97921829713
2025-05-22 02:00:12,103652.67745805382,102494.81539586833,104971.96520992414
2025-05-22 02:30:12,103602.47823478542,102356.30082655253,104945.63440168294
2025-05-22 03:00:12,103615.6588963602,102486.80864894736,104900.9510823836
2025-05-22 03:30:12,103683.87389247966,102464.34862835053,104976.37247508789
2025-05-22 04:00:12,103789.61074166876,102397.46606280962,105058.7818757828
2025-05-22 04:30:12,103908.27203426075,102594.10465394074,105219.64259866015
2025-05-22 05:00:12,104012.40759037697,102663.85596561088,105306.52221289105
2025-05-22 05:30:12,104077.39664552586,102805.82778821391,105355.6334013286
2025-05-22 06:00:12,104087.3415768557,102776.0328286528,105368.67044795415
2025-05-22 06:30:12,104039.6719285558,102728.45575315344,105359.08986490546
2025-05-22 07:00:12,103947.11229293612,102722.01373635349,105296.63382479062
2025-05-22 07:30:12,103836.25027741567,102626.16251722153,105055.14901361523
2025-05-22 08:00:12,103742.7928829466,102502.79251411393,104934.70764061098
2025-05-22 08:30:12,103704.44869320285,102542.12268596159,105016.36549861969
2025-05-22 09:00:12,103752.95811395596,102453.38375529298,105018.56074486172
2025-05-22 09:30:12,103906.97890722133,102605.4367383055,105302.43475672872
2025-05-22 10:00:12,104167.33759098024,102880.13517581543,105360.91701868078
2025-05-22 10:30:12,104515.68754650942,103195.04853817317,105864.61255047788
2025-05-22 11:00:12,104916.98179726004,103564.08924636566,106190.56643930095
2025-05-22 11:30:12,105325.4448935204,103973.24504107579,106585.63186526034
2025-05-22 12:00:12,105692.98427714064,104509.77786434101,107040.92549368675
2025-05-22 12:30:12,105978.34680169981,104666.88769598,107247.50310359601
2025-05-22 13:00:12,106155.00177265325,104956.41222265788,107482.88001987508
2025-05-22 13:30:12,106215.90840904329,104876.19990392563,107497.40180784996
2025-05-22 14:00:12,106174.04819907181,104825.2849208629,107487.16239352172
2025-05-22 14:30:12,106058.68802304077,104723.71411316402,107339.878215729
2025-05-22 15:00:12,105908.42942810812,104590.75298548168,107285.42874836762
2025-05-22 15:30:12,105762.82967152762,104583.31110721278,107065.01401899193
